App,Developer,Type,Rates,Downloads+,Last_reviews,Last_reviews_eng
#SelfCare,"Tru Luv Media, Inc.",Juegos de rol,4.4,500000,"Me encanta. A veces se cierra solo, pero pasa muy pocas veces. Lo único que cambiaría es que es demasiado corto y no hay casi nada para hacer, aunque esas pequeñas actividades me relajan y me gustan mucho; yo creo que sería perfecto si cada día añadieran algo más o que añadieran cosas a las actividades que ya se pueden hacer. La verdad, me gustó mucho. La recomiendo si estás estresado o algo por el estilo, aunque también porque sí.","I love it. Sometimes it closes by itself, but it happens very rarely. The only thing that would change is that it is too short and there is almost nothing to do, although these little activities relax me and I like them a lot; I think it would be perfect if they added something more every day or added things to activities that can already be done. The truth, I really liked it. I recommend it if you are stressed or something like that, but also because yes."
#SelfCare,"Tru Luv Media, Inc.",Juegos de rol,4.4,500000,Es muy buena pero no se por qué se me borran los datos. Me ha pasado ya unas cuantas veces y es muy molesto empezar de cero una y otra vez. Alguna idea de porqué sucede ésto?? Propongo la posibilidad de abrir el juego con gmail para no perder los datos cada vez que le da la gana al juego de reiniciarse.,It is very good but I do not know why the data is erased. It has happened to me a few times and it is very annoying to start from scratch over and over again. Any idea why this happens ?? I propose the possibility of opening the game with gmail so as not to lose the data every time the game feels like restarting.
#SelfCare,"Tru Luv Media, Inc.",Juegos de rol,4.4,500000,"Me hubiera gustado probarla más, más sin embargo no me encanta que esté todo en inglés, me llamo mucho la atención y me entristece no poder entender de que se trata ya que no se inglés, igual pude notar que es una buena app, pero si hay que tomar muy encuenta que si no sabes inglés te costará entender que hacer.... Ya que no es muy clara.","I would have liked to try it more, more however I do not love that it is all in English, it caught my attention and saddens me not being able to understand what it is because I do not know English, I could still notice that it is a good app, but if You have to take into account that if you do not know English it will be difficult for you to understand what to do ... Since it is not very clear."
#SelfCare,"Tru Luv Media, Inc.",Juegos de rol,4.4,500000,El juego está bien solo dos cosas no me gustaron 1:que esté en inglés y no se pueda traducir a otros idiomas 2:que te aburres fácilmente :/ ya que tiene muy pocas cosas con las cuales puedas interactuar,The game is fine only two things I did not like 1: that it is in English and cannot be translated into other languages ​​2: that you get bored easily: / since it has very few things with which you can interact
7 Cups - ansiedad y estrés,7 Cups of Tea,Salud y bienestar,4.1,1000000,"Es muy buena app, te ayuda mucho si estas buscando ayuda, hay personas que realmente te ayudan mucho","It is a very good app, it helps you a lot if you are looking for help, there are people who really help you a lot"
7 Cups - ansiedad y estrés,7 Cups of Tea,Salud y bienestar,4.1,1000000,"La amé, me parece una idea genial que exista está app y que aún haya personas con ganas de ayudar a otros, somos todos uno, debemos ayudarnos","I loved it, it seems to me a great idea that this app exists and that there are still people who want to help others, we are all one, we must help each other"
7 Cups - ansiedad y estrés,7 Cups of Tea,Salud y bienestar,4.1,1000000,"He tenido una buena experiencia, pero se deben manejar bien los filtros de búsqueda para evitar personas indeseadas. Un agrado hablar con un par de oyentes uno de US y otro de India ❤","I have had a good experience, but search filters must be handled well to avoid unwanted people. Nice to talk to a couple of listeners, one from the US and the other from India ❤"
7 Cups - ansiedad y estrés,7 Cups of Tea,Salud y bienestar,4.1,1000000,"me gusta mucho, hay gente muy sensible y ayudan mucho gracias por esta aplicacion lo unico es que a veces cuando uso el bot,se borran algunos mensajes y se mezclan todos, y tengo que cerrar y volver a abrir la aplicacion","I really like it, there are very sensitive people and they help a lot thanks for this application the only thing is that sometimes when I use the bot, some messages are erased and all are mixed, and I have to close and reopen the application"
Ada – tu guía de salud,Ada Health,Medicina,4.7,5000000,"Excelente, muy acertada, pero debería incluir la posibilidad de modificar los síntomas o condiciones, por ejemplo yo fume durante muchos años y ahora ya no lo hago, pero pienso que debería haber la posibilidad de elegír la condición de ex fumador, quise cambiar esa característica pues considero que es importante y ya no pude hacerlo o no supe como hacerlo. Saludos.","Excellent, very successful, but it should include the possibility of modifying the symptoms or conditions, for example I smoked for many years and now I no longer do it, but I think there should be the possibility of choosing the condition of ex-smoker, I wanted to change that characteristic Well, I consider it important and I could no longer do it or did not know how to do it. Regards."
Ada – tu guía de salud,Ada Health,Medicina,4.7,5000000,"Son muy acertados en sus diagnósticos, como muestra para tener la certeza de que lo estan haciendo bien primero consulto al medico y luego utilizo la app de Ada. Lo hice la primera y segunda vez, de ahí en adelante no a sido necesario. Felicitaciones por su gran ayuda.","They are very successful in their diagnoses, as a sample to be sure that they are doing well, I first consult the doctor and then I use the Ada app. I did it the first and second time, from then on it was not necessary. Congratulations on your great help."
Ada – tu guía de salud,Ada Health,Medicina,4.7,5000000,"Detecto un síntoma que le diagnosticaron a mi esposa, es una aplicación increíble el cual puede ayudar a detectar algún tipo de enfermedad a tiempo, aún así no debemos olvidar que es solo una aplicación, si los síntomas continúa debemos acudir al nuestro médico.","I detect a symptom that my wife diagnosed, it is an incredible application which can help detect some type of disease in time, even so we must not forget that it is only an application, if the symptoms continue we must go to our doctor."
Ada – tu guía de salud,Ada Health,Medicina,4.7,5000000,"Realmente ayuda mucho cuando uno no sabe que le pasa, ya sea a uno mismo o a un familiar cercano, está en español y tiene una buena descripción de cada síntoma que se seleccione para asegurar que es lo que uno siente. Parece brindar buenos resultados y te avisa que son RECOMENDACIONES y que deberías consultar a tu médico para una evaluación más segura De todas formas es un 5/5","It really helps a lot when you do not know what is happening, either to yourself or to a close relative, is in Spanish and has a good description of each symptom that is selected to ensure that it is what you feel. It seems to provide good results and warns you that they are RECOMMENDATIONS and that you should consult your doctor for a safer evaluation. Anyway, it is a 5/5"
All Mental Disorders and Treatment,ruthie apps,Medicina,4.4,50000,WONDER,WONDER
All Mental Disorders and Treatment,ruthie apps,Medicina,4.4,50000,So good,So good
All Mental Disorders and Treatment,ruthie apps,Medicina,4.4,50000,Me resulto bien interesante y asi de paso se lo muestro a mi hija pero me hubiera gusta que estuviera tanbien en espanol .porque yo asisto a un grupo de terapia y muchas personas ayi no saven ingles y les iva a pedir que los bajaran en sus teléfonos piensen en esta posibilidad en un futuro.,I found it very interesting and so in passing I show it to my daughter but I would have liked it to be so well in Spanish. think about this possibility in the future.
All Mental Disorders and Treatment,ruthie apps,Medicina,4.4,50000,Excellent!,Excellent!
