,App_name,App_type,App_rate,App_downloads+,App_developer,App_last_update,App_review,App_review_engl,App_review_en_full_rev
0,Ejercicios para el cerebro,Entretenimiento,4.5,100000,ABC Programming,7 de abril de 2020,Muy buena !practicar a diario mejora mi atencion y memoria !,Very good! Practicing daily improves my attention and memory!,Very good! Practicing daily improves my attention and memory!
1,Ser feliz Reto 30 días,Estilo de vida,4.0,100000,Metta Apps,29 de abril de 2020,"Maravillosa aplicación!! Agradezco que la hayan hecho y haberla encontrado, me súper ayudó!!","Wonderful application !! I appreciate that they did it and found it, it really helped me !!","Wonderful application !! I appreciate that they did it and found it, it really helped me !!"
2,Moodpath - Depression & Anxiety Test,Medicina,4.6,1000000,MindDoc Health,10 de junio de 2020,"Me gusta mucho, me hace prestar atención a mis emociones como nunca pensé:)","I really like it, it makes me pay attention to my emotions like I never thought :)","I really like it, it makes me pay attention to my emotions like I never thought :)"
3,desordenes mentales,Libros y obras de consulta,4.3,100000,Helpful Books,17 de septiembre de 2018,"Excelente trabajo, muy completo y se Puede compartir con redes sociales. Gracias.","Excellent work, very complete and can be shared with social networks. Thank you.","Excellent work, very complete and can be shared with social networks. Thank you."
4,"Psicólogos Online, Diario emocional y Mindfulness",Salud y bienestar,4.3,100000,ifeel,1 de junio de 2020,"Se ve genial, y muy bien diseñada. Pero claro, quien no tenga dinero para pagar la terapia, poca ayuda va a poder recibir. Recuerda, si tienes problemas emocionales y no tienes dinero, ningún psicólogo te podrá ayudar por pobre. Sé autodidacta, y aprende por tú cuenta para ayudarte a tí mismo. En el caso de que no tengas dinero, es la única salida.","It looks great, and very well designed. But of course, whoever does not have money to pay for therapy, little help will be able to receive. Remember, if you have emotional problems and do not have money, no psychologist can help you as poor. Be self-taught, and learn on your own to help yourself. In the ... Full review","It looks great, and very well designed. But of course, whoever does not have money to pay for therapy, little help will be able to receive. Remember, if you have emotional problems and do not have money, no psychologist can help you as poor. Be self-taught, and learn on your own to help yourself. In the event that you do not have money, it is the only way out."
5,Diario de animo y preguntas (anti depresión),Estilo de vida,4.3,500000,Reflexio Team,31 de mayo de 2020,"La instalé hace apenas 4 días y de veras, me encanta!. Siento como si tomara una gran cantidad de oxígeno cada que ingreso a la App a diario. Es como un pequeño refugio de tranquilidad, de paz, en el que de un modo muy sencillo puedo ser simplemente yo misma. Estaba buscando sugerencias de aplicaciones para que me ayudarán con la depresión y soy muy afortunada, encontré esta App. A sus creadores, muchas gracias y que Dios los bendiga. ☺️ LA SUPER RECOMIENDO!!! 🎉🎉🎉😘","I installed it just 4 days ago and I really love it! I feel like taking a large amount of oxygen every time I enter the App daily. It is like a small refuge of tranquility, of peace, in which in a very simple way I can simply be myself. I was looking for application suggestions ... Full opinion","I installed it just 4 days ago and I really love it! I feel like taking a large amount of oxygen every time I enter the App daily. It is like a small refuge of tranquility, of peace, in which in a very simple way I can simply be myself. I was looking for suggestions of applications to help me with depression and I am very lucky, I found this App. To its creators, thank you very much and God bless you. ☺️ THE SUPER RECOMMENDING !!! 🎉🎉🎉😘"
6,Medita con Petit BamBou: mindfulness y sueño,Salud y bienestar,4.7,1000000,FeelVeryBien sarl,12 de junio de 2020,"Increíble aplicación. Tiene un montón de herramientas tanto para la meditación guiada como para la meditación libre, sonidos y ayudas para ejercicios de respiración. Me encanta!! Además sin tener el modo premium tienes acceso a todas estas herramientas, pero con el premium tienes aun muchas más posibilidades y es muy económico. Totalmente recomendable.","Incredible application. It has plenty of tools for both guided meditation and free meditation, sounds and aids for breathing exercises. I love it!! Also without having the premium mode you have access to all these tools, but with the premium you have even more possibilities ... Full opinion","Incredible application. It has plenty of tools for both guided meditation and free meditation, sounds and aids for breathing exercises. I love it!! Also without having the premium mode you have access to all these tools, but with the premium you have even more possibilities and it is very economical. Totally recommendable."
7,Inteligencia emocional gratis,Salud y bienestar,4.4,10000,"Bible Studies, Embarazo y Dietas Free Libres",12 de mayo de 2020,esta buena esta ap relamete si te pones las pilas funciona..,this good this ap smack if you put your batteries it works ..,this good this ap smack if you put your batteries it works ..
8,Desordenes mentales,Educación,4.5,100000,Andrey Borzenko,12 de febrero de 2019,Maliiiiiiiiiisima. No puedo ver ningún trastorno. Se debe reparar,Maliiiiiiiiiisima. I can't see any disorder. It must be repaired,Maliiiiiiiiiisima. I can't see any disorder. It must be repaired
9,Smylife - Felicidad diaria,Salud y bienestar,4.3,10000,Smylife SAS,23 de noviembre de 2017,buena app me ayuda a repajarme y controlar mi estrés super recomendado pero yo le aumentaría que de recordatorio cuando tu nivel de estrés este muy alto o cuando tu bienestar esta super negativo pero despues de eso todo super super super super OK!!,Good app helps me to take control and control my super recommended stress but I would add that as a reminder when your stress level is very high or when your well-being is super negative but after that everything super super super super OK !!,Good app helps me to repair myself and control my super recommended stress but I would add that as a reminder when your stress level is very high or when your well-being is super negative but after that everything super super super super OK !!
10,PSY online terapia psicologia. Сhat apoyo anónimo.,Salud y bienestar,4.3,500000,INVOLTA INC,16 de junio de 2020,"Es genial, pero ya no me funciona, no me cargaban las preguntas ni me dejaba postearlas. Reinstalé la app y ahora no funciona ni carga nada, dice que escriba a servicio técnico. Ayuda por favor.","It's great, but it doesn't work anymore, they didn't load my questions or let me post them. I reinstalled the app and now it doesn't work or load anything, it says write to technical service. Please help.","It's great, but it doesn't work anymore, they didn't load my questions or let me post them. I reinstalled the app and now it doesn't work or load anything, it says write to technical service. Please help."
11,Ansiedad y estrés,Salud y bienestar,4.0,100000,Metta Apps,2 de mayo de 2020,"Una app de mucha ayuda, aunque no puedo escuchar los audios en android 4 ni 5 tras las ultimas actualizaciones.","A very helpful app, although I can't hear the audios on android 4 or 5 after the last updates.","A very helpful app, although I can't hear the audios on android 4 or 5 after the last updates."
