,App_name,App_type,App_rate,App_downloads+,App_developer,App_last_update,App_review
0,Ejercicios para el cerebro,Entretenimiento,4.5,100000,ABC Programming,7 de abril de 2020,Muy buena !practicar a diario mejora mi atencion y memoria !
1,Ser feliz Reto 30 días,Estilo de vida,4.0,100000,Metta Apps,29 de abril de 2020,"Maravillosa aplicación!! Agradezco que la hayan hecho y haberla encontrado, me súper ayudó!!"
2,Moodpath - Depression & Anxiety Test,Medicina,4.6,1000000,MindDoc Health,10 de junio de 2020,"Me gusta mucho, me hace prestar atención a mis emociones como nunca pensé:)"
3,desordenes mentales,Libros y obras de consulta,4.3,100000,Helpful Books,17 de septiembre de 2018,"Excelente trabajo, muy completo y se Puede compartir con redes sociales. Gracias."
4,"Psicólogos Online, Diario emocional y Mindfulness",Salud y bienestar,4.3,100000,ifeel,1 de junio de 2020,"Se ve genial, y muy bien diseñada. Pero claro, quien no tenga dinero para pagar la terapia, poca ayuda va a poder recibir. Recuerda, si tienes problemas emocionales y no tienes dinero, ningún psicólogo te podrá ayudar por pobre. Sé autodidacta, y aprende por tú cuenta para ayudarte a tí mismo. En el...Opinión completa"
5,Diario de animo y preguntas (anti depresión),Estilo de vida,4.3,500000,Reflexio Team,31 de mayo de 2020,"La instalé hace apenas 4 días y de veras, me encanta!. Siento como si tomara una gran cantidad de oxígeno cada que ingreso a la App a diario. Es como un pequeño refugio de tranquilidad, de paz, en el que de un modo muy sencillo puedo ser simplemente yo misma. Estaba buscando sugerencias de aplicacio...Opinión completa"
6,Medita con Petit BamBou: mindfulness y sueño,Salud y bienestar,4.7,1000000,FeelVeryBien sarl,12 de junio de 2020,"Increíble aplicación. Tiene un montón de herramientas tanto para la meditación guiada como para la meditación libre, sonidos y ayudas para ejercicios de respiración. Me encanta!! Además sin tener el modo premium tienes acceso a todas estas herramientas, pero con el premium tienes aun muchas más posi...Opinión completa"
7,Inteligencia emocional gratis,Salud y bienestar,4.4,10000,"Bible Studies, Embarazo y Dietas Free Libres",12 de mayo de 2020,esta buena esta ap relamete si te pones las pilas funciona..
8,Desordenes mentales,Educación,4.5,100000,Andrey Borzenko,12 de febrero de 2019,Maliiiiiiiiiisima. No puedo ver ningún trastorno. Se debe reparar
9,Smylife - Felicidad diaria,Salud y bienestar,4.3,10000,Smylife SAS,23 de noviembre de 2017,buena app me ayuda a repajarme y controlar mi estrés super recomendado pero yo le aumentaría que de recordatorio cuando tu nivel de estrés este muy alto o cuando tu bienestar esta super negativo pero despues de eso todo super super super super OK!!
