App,Developer,Type,Rates,Downloads+,Last_reviews
El Poder de la mente,Emprendedora apps,Estilo de vida,4.4,100000,"Gauuu, que buena aplicación. Amo los temas de autosuperación, autoayuda, física cuántica, etc. Esta aplicación aborda este tipo de temática, abordando items, como ley de atracción, como influye tu mente, exito y decenas de items, de forma corta pero precisa, con conceptos con mucho fundamento. Yo la empecé a usarla y leer y le juro que a minutos ya me la cambió para muy bien. Te estimula sin hacerte sentir culpable de que no usas tu mente a favor."
Audios de Autoestima💪Motivación😄Superación❤️,DAVID B MARÍN,Educación,4.6,5000,"Muy buenos mensajes, positivos y con mucho empuje."
"Goalmap: motivación, bienestar, metas personales",GOALMAP,Productividad,3.3,100000,"Excelente aplicación para cumplir metas de hábitos (Ej. Ejercicio, meditación, comida, etc). No tan bueno para metas de logros (Ej. ahorro mensual, ventas, viajes, etc). Sería muy bueno agregarle funcionalidades básicas de OKRs."
Crecimiento Espiritual,Apps Bíblicas Cristianas Interesantes,Libros y obras de consulta,4.6,100000,"Muy buena aplicasion,lo que más me gusta es que viene ,respaldada con citas biblicas."
Mindfulness Meditación guiada,Metta Apps,Estilo de vida,4.1,100000,El contenido de la app es excepcional y muy útil. El problema que tengo es que escuchando los audios se me paran cada 2 min (cuando se apaga la pantalla del móvil) y tengo que cortar el ejercicio para coger el tlf y desbloquearlo para que continúe el audio de nuevo. No consigo disfrutar de forma continua de los ejercicios y no sé si es por jna configuración de mi tlf o si es la app. Algún consejo para arreglarlo? Gracias
Autoayuda y Superación Libro 4,ImagenParaWeb,Estilo de vida,4.6,10000,Los libros son increíbles! Pero cuando intento leer los documentos pdf adicionales no aparecen...
Desarrollo Personal,PachaStudio,Estilo de vida,2.8,1000,no carga para nada k fea app
Cíngulo: Terapia Guiada,Cíngulo,Salud y bienestar,4.9,1000000,"Que lindooo. Lastima que no tenga traduccion! No puedo usarla, sovre todo porque son audios. Espero tener acceso algun dia!"
Como Ser Feliz,Wilson Castrillon,Estilo de vida,4.6,100000,"Una aplicación MÁGICA. Cada paso está lleno de palabras increíblemente reconfortantes. Esta aplicación me la descargué hace unos meses en el móvil de mi madre cuando estaba pasando un mal momento, y me mejoró muchisimo todo. Algo en mí mejoró. Pero se ve que no estaba del todo preparada para que mi corazón lo reciba bien, y olvidé seguir bien cada paso. Ahora siento que sí lo estoy, voy por el quinto paso y me siento en paz, son de verdad los pasos para ser feliz, y los seguiré. GRACIAS🕊️👏🏻"
PNL práctico,Metta Apps,Estilo de vida,4.4,100000,"Definitivamente excelente, para quienes nos hemos capacitado en estos temas, no podemos negar que la app maneja la PNL muy simple, de una forma tan sencilla, solo es cuestión de ser consciente y concentrarse en lo que te enseña esta app... Felicidades!"
"Control y Monitor: Ansiedad, Ánimo y Autoestima",TwoCats App,Estilo de vida,4.6,1000000,Este app es excelente! te ayuda a mantenerte relajado ante las ansiedades con las prácticas de respiración.!! Recomendado para todos quienes sufren Ansiedades y ataques de pánico!! Llevo 10 años con el problema y por fín encontre un app que me ayude a paliar con este trastorno psicológico. Saludos y bendiciones.
Abundancia Reto,Metta Apps,Estilo de vida,4.5,100000,"Le he dado solo dos estrellas, me parece buen material pero lamentablemente los audios se paran, dejan de funcionar y de esta forma no se puede meditar dado a que se interrumpe, siempre me gusta respetar el trabajo de todo desarrollador y respeto este, es un buen trabajo pero el fallo común son los audios, pensé que era mi internet y ya comprobé que no."
🧙 Aumenta tu Sabiduría 🧙,Nerv Apps,Estilo de vida,4.4,100000,"La app en sí es buena, pero en mi opinión estaría mejor si pusieras las fechas ya que ayuda bastante a entender en qué condiciones slo escribió el autor."
Superación Personal - Librería,Libro Movil,Libros y obras de consulta,3.7,100000,pésima!!!! el audio se traba constantemente. devuelvan mi dinero
La Mente es Maravillosa - Psicología y relaciones,Grupo MContigo,Noticias y revistas,4.7,100000,"Me gusta bastante los artículos, es información que ayuda, además, las dan expertos en el tema. La recomiendo para leer y saber temas de psicología, salud, familia entre otros."
Motivación Diaria: Una frase motivacional por día,Meta Priori,Estilo de vida,4.4,100000,"Me gustaría que hubieran más frases pues ya se empezaron a repetir y me gusta mucho la app Excelentes frases, realmente te dejan pensando y reflexionando, interesante aplicación"
SkillMentor by Mentorist: SelfHelp Books In Action,Taulab OÜ,Educación,4.5,10000,Very practical tool for habit creation
