App,Developer,Type,Rates,Downloads+,Last_reviews,Last_reviews_eng
El Poder de la mente,Emprendedora apps,Estilo de vida,4.4,100000,"Guauu, que buena aplicación. Amo los temas de autosuperación, autoayuda, física cuántica, etc. Esta aplicación aborda este tipo de temática, abordando items, como ley de atracción, como influye tu mente, exito y decenas de items, de forma corta pero precisa, con conceptos con mucho fundamento. Yo la empecé a usarla y leer y le juro que a minutos ya me la cambió para muy bien. Te estimula sin hacerte sentir culpable de que no usas tu mente a favor.","Wow, what a nice app. I love the topics of self-improvement, self-help, quantum physics, etc. This application addresses this type of theme, addressing items, such as the law of attraction, how your mind influences, success and dozens of items, in a short but precise way, with concepts with a lot of foundation. I started using it and reading it and I swear that within minutes it had changed for me very well. It stimulates you without making you feel guilty that you don't use your mind in favor."
Audios de Autoestima💪Motivación😄Superación❤️,DAVID B MARÍN,Educación,4.6,5000,"Muy buenos mensajes, positivos y con mucho empuje.","Very good messages, positive and with a lot of push."
"Goalmap: motivación, bienestar, metas personales",GOALMAP,Productividad,3.3,100000,"Excelente aplicación para cumplir metas de hábitos (Ej. Ejercicio, meditación, comida, etc). No tan bueno para metas de logros (Ej. ahorro mensual, ventas, viajes, etc). Sería muy bueno agregarle funcionalidades básicas de OKRs.","Excellent application to meet goals of habits (eg exercise, meditation, food, etc). Not so good for achievement goals (eg monthly savings, sales, travel, etc.). It would be great to add basic OKR functionalities to it."
Crecimiento Espiritual,Apps Bíblicas Cristianas Interesantes,Libros y obras de consulta,4.6,100000,"Muy buena aplicasion,lo que más me gusta es que viene ,respaldada con citas biblicas.","Very good application, what I like the most is that it comes, backed by biblical quotes."
Mindfulness Meditación guiada,Metta Apps,Estilo de vida,4.1,100000,El contenido de la app es excepcional y muy útil. El problema que tengo es que escuchando los audios se me paran cada 2 min (cuando se apaga la pantalla del móvil) y tengo que cortar el ejercicio para coger el tlf y desbloquearlo para que continúe el audio de nuevo. No consigo disfrutar de forma continua de los ejercicios y no sé si es por jna configuración de mi tlf o si es la app. Algún consejo para arreglarlo? Gracias,The content of the app is exceptional and very useful. The problem I have is that listening to the audios stops me every 2 min (when the mobile screen turns off) and I have to cut the exercise to take the phone and unlock it so that the audio continues again. I can not enjoy the exercises continuously and I do not know if it is due to a configuration on my phone or if it is the app. Any advice to fix it? Thank you
Autoayuda y Superación Libro 4,ImagenParaWeb,Estilo de vida,4.6,10000,Los libros son increíbles! Pero cuando intento leer los documentos pdf adicionales no aparecen...,The books are incredible! But when I try to read the additional pdf documents they don't appear ...
Desarrollo Personal,PachaStudio,Estilo de vida,2.8,1000,no carga para nada k fea app,it does not load at all k ugly app
Cíngulo: Terapia Guiada,Cíngulo,Salud y bienestar,4.9,1000000,"Que lindooo. Lastima que no tenga traduccion! No puedo usarla, sovre todo porque son audios. Espero tener acceso algun dia!","So nice. Too bad it doesn't have a translation! I can't use it, I use it all because they are audio. I hope to have access someday!"
Como Ser Feliz,Wilson Castrillon,Estilo de vida,4.6,100000,"Una aplicación MÁGICA. Cada paso está lleno de palabras increíblemente reconfortantes. Esta aplicación me la descargué hace unos meses en el móvil de mi madre cuando estaba pasando un mal momento, y me mejoró muchisimo todo. Algo en mí mejoró. Pero se ve que no estaba del todo preparada para que mi corazón lo reciba bien, y olvidé seguir bien cada paso. Ahora siento que sí lo estoy, voy por el quinto paso y me siento en paz, son de verdad los pasos para ser feliz, y los seguiré. GRACIAS🕊️👏🏻","A MAGIC app. Each step is full of incredibly comforting words. I downloaded this application a few months ago on my mother's mobile when I was having a bad time, and everything improved a lot. Something in me improved. But it can be seen that I was not fully prepared for my heart to receive it well, and I forgot to follow each step well. Now I feel that I am, I am going through the fifth step and I feel at peace, they are really the steps to be happy, and I will follow them. THANKS🕊️👏🏻"
PNL práctico,Metta Apps,Estilo de vida,4.4,100000,"Definitivamente excelente, para quienes nos hemos capacitado en estos temas, no podemos negar que la app maneja la PNL muy simple, de una forma tan sencilla, solo es cuestión de ser consciente y concentrarse en lo que te enseña esta app... Felicidades!","Definitely excellent, for those of us who have been trained in these topics, we cannot deny that the app handles NLP very simply, in such a simple way, it is only a matter of being aware and concentrating on what this app teaches you ... Congratulations!"
