,Year,Country,Rank,Happiness_score,Live_expect_score,Helth_life_exp_age,Age_avg
0,2017,Norway,1,7.537000179290769,0.796666502952576,73.0999984741211,73.2001953125
4,2017,Denmark,2,7.52199983596802,0.7925655245780941,72.0999984741211,72.40062522888184
8,2017,Iceland,3,7.50400018692017,0.8335521221160892,73.0,73.0
12,2017,Switzerland,4,7.49399995803833,0.858131289482117,73.80000305175781,74.10061264038086
16,2017,Finland,5,7.468999862670901,0.80915766954422,71.80000305175781,71.90020751953125
20,2017,Netherlands,6,7.3769998550415,0.8106961250305179,72.19999694824219,72.30023002624512
24,2017,Canada,7,7.31599998474121,0.83455765247345,73.4000015258789,73.60040092468262
28,2017,New Zealand,8,7.31400012969971,0.816759705543518,73.0,73.20065689086914
32,2017,Sweden,9,7.28399991989136,0.830875158309937,72.5,72.60019111633301
36,2017,Australia,10,7.28399991989136,0.84388679265976,73.30000305175781,73.60113525390625
40,2017,Israel,11,7.212999820709231,0.83840399980545,73.0999984741211,73.20008595784505
44,2017,Costa Rica,12,7.0789999961853,0.7595092654228209,71.0999984741211,71.29996299743652
48,2017,Austria,13,7.00600004196167,0.8153284192085269,72.69999694824219,73.00062561035156
52,2017,United States,14,6.993000030517581,0.7742866277694699,68.4000015258789,68.29987525939941
56,2017,Ireland,15,6.9770002365112305,0.8097826242446899,72.19999694824219,72.30019760131836
60,2017,Germany,16,6.9510002136230495,0.798950731754303,71.9000015258789,72.20050430297852
64,2017,Belgium,17,6.89099979400635,0.8180918693542479,71.80000305175781,72.00041198730469
68,2017,Luxembourg,18,6.86299991607666,0.845089495182037,72.5999984741211,72.5999984741211
72,2017,United Kingdom,19,6.71400022506714,0.805335938930511,72.0999984741211,72.30040168762207
76,2017,Chile,20,6.65199995040894,0.8194797039031979,69.80000305175781,69.90015602111816
80,2017,United Arab Emirates,21,6.6479997634887695,0.726798236370087,66.9000015258789,67.0956974029541
84,2017,Brazil,22,6.6350002288818395,0.6165523529052729,66.19999694824219,66.42004013061523
88,2017,Czech Republic,23,6.60900020599365,0.754444003105164,69.80000305175781,70.04931386311848
92,2017,Argentina,24,6.59899997711182,0.695137083530426,68.5999984741211,68.80095100402832
96,2017,Mexico,25,6.57800006866455,0.709978997707367,68.0,68.29975700378418
100,2017,Singapore,26,6.57200002670288,0.9494923949241642,76.5,76.80114555358887
104,2017,Malta,27,6.52699995040894,0.821944236755371,72.19999694824219,72.19999694824219
108,2017,Uruguay,28,6.4539999961853,0.719216823577881,68.9000015258789,69.00063705444336
112,2017,Guatemala,29,6.4539999961853,0.540239989757538,64.5,64.80223655700684
116,2017,Panama,30,6.4520001411438,0.706156134605408,69.5,69.60075187683105
120,2017,France,31,6.44199991226196,0.8444658517837521,73.5999984741211,73.80048370361328
124,2017,Thailand,32,6.4239997863769505,0.647239029407501,67.0,67.21264839172363
128,2017,Taiwan,33,6.42199993133545,0.793984234333038,69.5999984741211,69.5999984741211
132,2017,Spain,34,6.40299987792969,0.888960599899292,74.0999984741211,74.40067672729492
136,2017,Qatar,35,6.375,0.7100980877876278,0.0,0.0
139,2017,Colombia,36,6.35699987411499,0.595027923583984,67.4000015258789,67.69989585876465
143,2017,Saudi Arabia,37,6.343999862670901,0.590148329734802,66.0,66.3012866973877
147,2017,Trinidad & Tobago,38,6.1680002212524405,0.5199832916259771,63.5,63.5
151,2017,Kuwait,39,6.10500001907349,0.6321057081222529,66.5,66.72254943847656
155,2017,Slovakia,40,6.09800004959106,0.712732911109924,68.5999984741211,68.90158462524414
159,2017,Bahrain,41,6.08699989318848,0.653133034706116,68.5,68.5
163,2017,Malaysia,42,6.08400011062622,0.618784427642822,67.10071818033855,67.10071818033855
167,2017,Nicaragua,43,6.07100009918213,0.6530959606170649,67.19999694824219,67.50179481506348
171,2017,Ecuador,44,6.00799989700317,0.685636222362518,68.19999694824219,68.50000953674316
175,2017,El Salvador,45,6.002999782562259,0.596018552780151,65.80000305175781,66.10206604003906
179,2017,Poland,46,5.97300004959106,0.699475347995758,68.9000015258789,69.30278396606445
183,2017,Uzbekistan,47,5.97100019454956,0.498272627592087,64.80000305175781,65.10189437866211
187,2017,Italy,48,5.96400022506714,0.8531443476676941,73.4000015258789,73.60042190551758
191,2017,Russia,49,5.962999820709231,0.547349333763123,63.900001525878906,64.10015360514323
195,2017,Belize,50,5.955999851226809,0.45019176602363603,0.0,0.0
197,2017,Japan,51,5.92000007629395,0.9134758710861209,74.9000015258789,75.00024223327637
201,2017,Lithuania,52,5.90199995040894,0.62894994020462,66.69999694824219,67.29851913452148
205,2017,Algeria,53,5.872000217437741,0.6175846457481379,65.69999694824219,65.90129280090332
209,2017,Latvia,54,5.849999904632571,0.638566970825195,66.5,66.80186653137207
213,2017,South Korea,55,5.837999820709231,0.900214076042175,73.30000305175781,73.60068321228027
217,2017,Moldova,56,5.837999820709231,0.5894652009010309,64.30000305175781,65.00325393676758
221,2017,Romania,57,5.824999809265139,0.6851583123207089,66.9000015258789,67.20180892944336
225,2017,Bolivia,58,5.82299995422363,0.47363024950027505,63.29999923706055,63.600117683410645
229,2017,Turkmenistan,59,5.82200002670288,0.437726080417633,61.79999923706055,62.20292663574219
233,2017,Kazakhstan,60,5.8189997673034695,0.6060415506362921,64.0,64.60248947143555
237,2017,Northern Cyprus,61,5.80999994277954,0.834647238254547,73.70222473144531,73.70222473144531
241,2017,Slovenia,62,5.75799989700317,0.7908282279968258,70.80000305175781,71.10074806213379
245,2017,Peru,63,5.71500015258789,0.6301661133766171,67.80000305175781,68.10005950927734
249,2017,Mauritius,64,5.62900018692017,0.6380074620246889,66.0999984741211,66.40108489990234
253,2017,Cyprus,65,5.62099981307983,0.84471470117569,73.5,73.7005558013916
257,2017,Estonia,66,5.61100006103516,0.695168316364288,68.4000015258789,68.60124015808105
261,2017,Belarus,67,5.5689997673034695,0.6377142667770389,65.80000305175781,66.10108375549316
265,2017,Libya,68,5.525000095367429,0.520169019699097,62.29999923706055,62.29999923706055
269,2017,Turkey,69,5.5,0.6376056075096129,66.4000015258789,66.82570457458496
273,2017,Paraguay,70,5.493000030517581,0.579250693321228,65.5,65.6799799601237
277,2017,Hong Kong,71,5.47200012207031,0.943062424659729,76.7717056274414,76.7717056274414
281,2017,Philippines,72,5.42999982833862,0.46800905466079706,61.79999923706055,61.90669059753418
285,2017,Serbia,73,5.39499998092651,0.65078467130661,67.80000305175781,68.20255088806152
289,2017,Jordan,74,5.33599996566772,0.6045900583267211,66.5999984741211,66.7999382019043
293,2017,Hungary,75,5.32399988174438,0.6877634525299069,67.19999694824219,67.60249137878418
297,2017,Jamaica,76,5.31099987030029,0.6410223841667181,67.0999984741211,67.0999984741211
301,2017,Croatia,77,5.2930002212524405,0.701288521289825,69.5999984741211,70.20372581481934
305,2017,Kosovo,78,5.27899980545044,0.541452050209045,63.885555267333984,63.885555267333984
309,2017,China,79,5.2729997634887695,0.741415500640869,69.0,69.29729843139648
313,2017,Pakistan,80,5.26900005340576,0.40204778313636796,58.099998474121094,58.28437805175781
317,2017,Indonesia,81,5.26200008392334,0.49234572052955605,61.900001525878906,62.113962173461914
321,2017,Venezuela,82,5.25,0.617144227027893,66.30000305175781,66.50133514404297
325,2017,Montenegro,83,5.23699998855591,0.6674646735191351,68.30000305175781,68.5013370513916
329,2017,Morocco,84,5.2350001335144,0.59771066904068,65.5999984741211,65.8990592956543
333,2017,Azerbaijan,85,5.234000205993651,0.5407757759094239,65.19999694824219,65.50209999084473
